Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,277229,13,8,17,40,138,2,459,0.00%,2300.7,366.7
TOTAL,277230,13,8,17,40,138,0,459,0.00%,.0,.0
