Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,880828,3,3,4,5,6,0,153,0.00%,7319.3,1166.4
TOTAL,880830,3,3,4,5,6,0,153,0.00%,.0,.0
