Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,1056149,2,3,4,4,5,0,68,0.00%,8788.7,1649.5
TOTAL,1056154,2,3,4,4,5,0,68,0.00%,.0,.0
