Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,1056386,2,3,4,4,5,0,72,0.00%,8798.4,1651.3
TOTAL,1056386,2,3,4,4,5,0,72,0.00%,8798.4,1651.3
