Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,283661,13,8,16,36,143,1,410,0.00%,2357.1,375.7
TOTAL,283662,13,8,16,36,143,0,410,0.00%,.0,.0
