Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
RESTService_SpringBoot_Test_Simple_Hello,267516,14,9,18,44,144,1,396,0.00%,2223.1,354.3
TOTAL,267517,14,9,18,44,144,0,396,0.00%,.0,.0
